M3 Nv,M3 Ne,G3 Nv,G3 Ne,Laplacian Determinant,Zero Eigenvalue Multiplicity,n - rank(Lap),M1 Edge,M2 Edge,M1 Vertex,M2 Vertex,Incidence Matrix Row Sum,Incidence Matrix Column Sum,Laplacian Matrix Row Sum,Laplacian Matrix Column Sum,Laplacian Eigenvalue 1,Laplacian Eigenvalue 2,Laplacian Eigenvalue 3,Laplacian Eigenvalue 4,Laplacian Eigenvalue 5,Laplacian Eigenvalue 6,Laplacian Eigenvalue 7,Laplacian Eigenvalue 8
8,10,8,6,16,0,0,4,2,6,9,2,2,4,4,0.300034376147745,0.559929129264221,1,1.35432249535999,1.77973699079375,2,3.78153350656664,5.22444350186765
8,10,7,5,16,0,0,4,3,4,7,-1,-1,5,5,0.338946032340539,0.999999999999999,1,1,1.57362965905111,2,2.88061514425286,5.2068091643555
8,10,8,6,16,0,0,4,3,4,9,-4,-4,8,8,0.261282669963718,0.63874163958305,1,1.4900200715621,1.68432400656627,2,3.55916115088211,5.36647046144275
8,10,7,5,16,0,0,4,3,6,7,5,5,9,9,0.33894603234054,0.999999999999999,1,1,1.5736296590511,2,2.88061514425286,5.2068091643555
8,10,8,6,16,0,0,4,3,6,9,2,2,4,4,0.261282669963718,0.63874163958305,1,1.4900200715621,1.68432400656627,2,3.55916115088211,5.36647046144275
8,10,8,5,12,0,0,4,4,4,7,-1,-1,9,9,0.23844281816811,1,1,1,1.63667176206732,2,3,5.12488541976457
8,10,8,7,12,0,0,4,4,4,10,-1,-1,3,3,0.122596254299962,0.585786437626905,0.999999999999999,1.52354796026921,2,3,3.4142135623731,5.35385578543083
8,10,8,5,12,0,0,4,4,6,7,5,5,5,5,0.238442818168109,1,1,1,1.63667176206732,2,3,5.12488541976457
8,10,8,7,12,0,0,4,4,6,10,5,5,7,7,0.122596254299962,0.585786437626905,1,1.52354796026921,2,3,3.4142135623731,5.35385578543083
8,10,7,7,14,0,0,5,1,2,7,1,1,7,7,0.196217052828407,0.71797164927889,1,1,1.48666645238333,2.84125867520503,4.35220011052755,5.4056860597768
8,10,8,8,14,0,0,5,1,2,8,0,0,2,2,0.170177547998169,0.523732759364279,0.772835090984431,1.44046210401396,1.65818153254166,3.45779940152579,4.46390065101718,5.51291091255454
8,10,7,5,14,0,0,5,1,4,7,-1,-1,5,5,0.357037596762463,0.730924944949315,1,1,1.63017205151137,2,3.30841704172295,4.9734483650539
8,10,8,6,14,0,0,5,1,4,8,-2,-2,8,8,0.253935194094271,0.579209334247199,1,1.36961333677454,1.69521980400015,2,4.08894118577319,5.01308114511066
8,10,8,8,14,0,0,5,2,2,8,0,0,6,6,0.186969464513497,0.495974259399942,0.749792629560177,1.35034125720066,1.68074970171028,3.73750828376429,4.38326937897884,5.41539502487231
8,10,8,8,14,0,0,5,2,2,9,-2,-2,2,2,0.186969464513497,0.495974259399942,0.749792629560177,1.35034125720066,1.68074970171028,3.73750828376429,4.38326937897884,5.41539502487231
8,10,8,6,14,0,0,5,2,4,8,-2,-2,4,4,0.301964311181612,0.548118319782654,1,1,1.72030613953684,2.49870271713575,3.95317896308159,4.97772954928155
